                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.4186,                 1.1822,                 1.6171,                0.66793,                 0.6278,                0.69319,                0.39224,                 1.5134,                  1.311,                 1.7402,              0.0002972,              0.0002972,              0.0002972
                     88,                  1.375,                 1.2097,                 1.6052,                0.69158,                0.61154,                0.68137,                0.39003,                  1.502,                 1.3345,                 1.7254,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.3671,                 1.1421,                 1.5731,                0.69872,                0.60909,                0.68467,                0.39539,                 1.5132,                 1.3316,                 1.7206,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.3941,                  1.263,                 1.6425,                0.71768,                0.61628,                0.69561,                0.39703,                 1.5152,                 1.3087,                 1.7365,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.2708,                  1.147,                 1.5105,                0.66006,                0.61783,                0.67958,                0.38249,                  1.544,                 1.3271,                 1.7434,               0.000218,               0.000218,               0.000218
                     92,                 1.2479,                 1.1127,                 1.5131,                0.74426,                0.58182,                0.68408,                0.39101,                 1.5063,                 1.3041,                 1.7337,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.2494,                 1.1193,                 1.5163,                0.74351,                0.59394,                0.69988,                0.39928,                 1.5163,                 1.2896,                 1.7274,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.2167,                 1.0331,                   1.49,                0.72061,                0.59402,                0.69922,                0.40949,                 1.4939,                 1.2656,                 1.7104,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.2072,                 1.0516,                 1.5019,                0.68591,                0.66175,                0.71275,                0.41594,                 1.4896,                 1.2393,                 1.7142,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.1955,                0.98212,                 1.4664,                0.70017,                0.63333,                0.71344,                0.41727,                 1.4757,                 1.2462,                 1.7009,               0.000119,               0.000119,               0.000119
                     97,                 1.3243,                 1.0656,                 1.5993,                0.69844,                 0.6457,                0.71468,                0.41849,                 1.4748,                 1.2426,                 1.6993,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.2044,                 0.9912,                 1.4648,                0.70264,                0.64848,                0.71221,                0.41918,                 1.4888,                 1.2458,                    1.7,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.2011,                 1.0543,                 1.4661,                0.73244,                0.62727,                0.71179,                0.41769,                 1.4882,                 1.2527,                  1.703,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.1959,                0.96174,                 1.4707,                 0.7109,                0.63337,                0.71309,                0.42083,                 1.4752,                 1.2456,                 1.6967,               3.98e-05,               3.98e-05,               3.98e-05
